[09-Aug-2014 13:34:16 Europe/Berlin] PHP Fatal error:  Class 'dao\PageDao' not found in /var/www/html/framework2/php/test.php on line 3
[09-Aug-2014 13:34:54 Europe/Berlin] PHP Warning:  require_once(php/dao\PageDao.php): failed to open stream: No such file or directory in /var/www/html/framework2/php/test.php on line 4
[09-Aug-2014 13:34:54 Europe/Berlin] PHP Fatal error:  require_once(): Failed opening required 'php/dao\PageDao.php' (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/html/framework2/php/test.php on line 4
[09-Aug-2014 13:35:24 Europe/Berlin] PHP Warning:  require_once(php/dao.php): failed to open stream: No such file or directory in /var/www/html/framework2/php/test.php on line 4
[09-Aug-2014 13:35:24 Europe/Berlin] PHP Fatal error:  require_once(): Failed opening required 'php/dao.php' (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/html/framework2/php/test.php on line 4
[09-Aug-2014 13:35:30 Europe/Berlin] PHP Warning:  require_once(php/dao.php): failed to open stream: No such file or directory in /var/www/html/framework2/php/test.php on line 4
[09-Aug-2014 13:35:30 Europe/Berlin] PHP Fatal error:  require_once(): Failed opening required 'php/dao.php' (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/html/framework2/php/test.php on line 4
[09-Aug-2014 13:36:45 Europe/Berlin] PHP Warning:  require_once(php/dao\PageDao.php): failed to open stream: No such file or directory in /var/www/html/framework2/php/test.php on line 5
[09-Aug-2014 13:36:45 Europe/Berlin] PHP Fatal error:  require_once(): Failed opening required 'php/dao\PageDao.php' (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/html/framework2/php/test.php on line 5
[09-Aug-2014 13:37:37 Europe/Berlin] PHP Warning:  require_once(php/dao\PageDao.php): failed to open stream: No such file or directory in /var/www/html/framework2/php/test.php on line 5
[09-Aug-2014 13:37:37 Europe/Berlin] PHP Fatal error:  require_once(): Failed opening required 'php/dao\PageDao.php' (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/html/framework2/php/test.php on line 5
[09-Aug-2014 13:38:58 Europe/Berlin] PHP Fatal error:  Class 'dao\PageDao' not found in /var/www/html/framework2/php/test.php on line 9
[09-Aug-2014 13:39:18 Europe/Berlin] PHP Fatal error:  Class 'dao\PageDao' not found in /var/www/html/framework2/php/test.php on line 9
[09-Aug-2014 13:39:19 Europe/Berlin] PHP Fatal error:  Class 'dao\PageDao' not found in /var/www/html/framework2/php/test.php on line 9
[09-Aug-2014 13:39:56 Europe/Berlin] PHP Fatal error:  Class 'dao\PageDao' not found in /var/www/html/framework2/php/test.php on line 10
[09-Aug-2014 13:39:57 Europe/Berlin] PHP Fatal error:  Class 'dao\PageDao' not found in /var/www/html/framework2/php/test.php on line 10
[09-Aug-2014 13:39:57 Europe/Berlin] PHP Fatal error:  Class 'dao\PageDao' not found in /var/www/html/framework2/php/test.php on line 10
[09-Aug-2014 13:40:27 Europe/Berlin] PHP Warning:  require_once(php/PageDao.php): failed to open stream: No such file or directory in /var/www/html/framework2/php/test.php on line 7
[09-Aug-2014 13:40:27 Europe/Berlin] PHP Fatal error:  require_once(): Failed opening required 'php/PageDao.php' (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/html/framework2/php/test.php on line 7
[09-Aug-2014 13:43:55 Europe/Berlin] PHP Warning:  require_once(php/dao/PageDao.php): failed to open stream: No such file or directory in /var/www/html/framework2/php/test.php on line 10
[09-Aug-2014 13:43:55 Europe/Berlin] PHP Fatal error:  require_once(): Failed opening required 'php/dao/PageDao.php' (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/html/framework2/php/test.php on line 10
[09-Aug-2014 13:44:05 Europe/Berlin] PHP Warning:  require_once(php/dao/PageDao.php): failed to open stream: No such file or directory in /var/www/html/framework2/php/test.php on line 10
[09-Aug-2014 13:44:05 Europe/Berlin] PHP Fatal error:  require_once(): Failed opening required 'php/dao/PageDao.php' (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/html/framework2/php/test.php on line 10
[09-Aug-2014 13:44:19 Europe/Berlin] PHP Warning:  require_once(./dao/PageDao.php): failed to open stream: Permission denied in /var/www/html/framework2/php/test.php on line 10
[09-Aug-2014 13:44:19 Europe/Berlin] PHP Fatal error:  require_once(): Failed opening required './dao/PageDao.php' (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/html/framework2/php/test.php on line 10
[09-Aug-2014 13:44:22 Europe/Berlin] PHP Warning:  require_once(./dao/PageDao.php): failed to open stream: Permission denied in /var/www/html/framework2/php/test.php on line 10
[09-Aug-2014 13:44:22 Europe/Berlin] PHP Fatal error:  require_once(): Failed opening required './dao/PageDao.php' (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/html/framework2/php/test.php on line 10
[09-Aug-2014 13:44:22 Europe/Berlin] PHP Warning:  require_once(./dao/PageDao.php): failed to open stream: Permission denied in /var/www/html/framework2/php/test.php on line 10
[09-Aug-2014 13:44:22 Europe/Berlin] PHP Fatal error:  require_once(): Failed opening required './dao/PageDao.php' (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/html/framework2/php/test.php on line 10
[09-Aug-2014 13:44:23 Europe/Berlin] PHP Warning:  require_once(./dao/PageDao.php): failed to open stream: Permission denied in /var/www/html/framework2/php/test.php on line 10
[09-Aug-2014 13:44:23 Europe/Berlin] PHP Fatal error:  require_once(): Failed opening required './dao/PageDao.php' (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/html/framework2/php/test.php on line 10
[14-Aug-2014 16:26:57 Europe/Berlin] PHP Warning:  require_once(php/dao/LanguageDao.php): failed to open stream: No such file or directory in /var/www/html/framework2/php/LanguageDaoTest.php on line 11
[14-Aug-2014 16:26:57 Europe/Berlin] PHP Fatal error:  require_once(): Failed opening required 'php/dao/LanguageDao.php' (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/html/framework2/php/LanguageDaoTest.php on line 11
[14-Aug-2014 16:28:32 Europe/Berlin] PHP Warning:  require_once(php/dao/LanguageDao.php): failed to open stream: No such file or directory in /var/www/html/framework2/php/LanguageDaoTest.php on line 11
[14-Aug-2014 16:28:32 Europe/Berlin] PHP Fatal error:  require_once(): Failed opening required 'php/dao/LanguageDao.php' (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/html/framework2/php/LanguageDaoTest.php on line 11
[14-Aug-2014 16:30:34 Europe/Berlin] PHP Warning:  require_once(/dao/LanguageDao.php): failed to open stream: No such file or directory in /var/www/html/framework2/php/LanguageDaoTest.php on line 11
[14-Aug-2014 16:30:34 Europe/Berlin] PHP Fatal error:  require_once(): Failed opening required '/dao/LanguageDao.php' (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/html/framework2/php/LanguageDaoTest.php on line 11
[14-Aug-2014 16:31:48 Europe/Berlin] PHP Warning:  require_once(dao/LanguageDAO.php): failed to open stream: No such file or directory in /var/www/html/framework2/php/LanguageDaoTest.php on line 3
[14-Aug-2014 16:31:48 Europe/Berlin] PHP Fatal error:  require_once(): Failed opening required 'dao/LanguageDAO.php' (include_path='.:/usr/share/php:/usr/share/pear') in /var/www/html/framework2/php/LanguageDaoTest.php on line 3
